No.,Time,Source,Destination,Protocol,Length,Info,
1,0,192.168.159.152,192.168.159.151,DNS,74,Standard query response 0x1566 Server failure A ntp.ubuntu.com,no
2,0.000058,192.168.159.152,192.168.159.151,DNS,74,Standard query response 0x5414 Server failure AAAA ntp.ubuntu.com,no
3,0.000285,192.168.159.151,192.168.159.152,DNS,84,Standard query 0x88be A ntp.ubuntu.com.mydns.com,no
4,0.000441,192.168.159.151,192.168.159.152,DNS,84,Standard query 0x3875 AAAA ntp.ubuntu.com.mydns.com,no
5,0.001473,192.168.159.152,192.168.159.151,DNS,132,Standard query response 0x3875 No such name AAAA ntp.ubuntu.com.mydns.com SOA ubuntu.mydns.com,no
6,0.001524,192.168.159.152,192.168.159.151,DNS,132,Standard query response 0x88be No such name A ntp.ubuntu.com.mydns.com SOA ubuntu.mydns.com,no
7,0.0028,192.168.159.151,192.168.159.152,DNS,81,Standard query 0xb8a7 A 3.ubuntu.pool.ntp.org,no
8,0.003415,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x4aea AAAA 3.ubuntu.pool.ntp.org,no
9,0.004076,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
10,0.065459,VMware_c0:00:08,Broadcast,ARP,60,Who has 192.168.178.2? Tell 192.168.178.1,no
11,0.187971,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
12,0.420072,192.168.159.151,192.168.159.152,DNS,79,Standard query 0x37e6 A clients1.google.com,no
13,1.001705,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
14,2.001396,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
15,3.139557,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
16,4.156188,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
17,4.408939,192.168.159.152,192.168.159.151,DNS,79,Standard query response 0x51b9 Server failure A clients1.google.com,no
18,4.408994,192.168.159.152,192.168.159.151,DNS,79,Standard query response 0x9df1 Server failure A clients1.google.com,no
