No.,Time,Source,Destination,Protocol,Length,Info,MitM
1,0,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
2,0.295439,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
3,1.024066,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
4,1.617984,192.168.159.151,192.168.159.152,DNS,88,Standard query 0x503f PTR 150.159.168.192.in-addr.arpa,FALSE
5,1.618191,192.168.159.151,192.168.159.152,DNS,88,Standard query 0xcb97 PTR 152.159.168.192.in-addr.arpa,FALSE
6,1.61853,192.168.159.152,192.168.159.151,DNS,158,Standard query response 0xcb97 PTR 152.159.168.192.in-addr.arpa PTR ubuntu.mydns.com NS ubuntu NS kdc01.mydns.com,FALSE
7,1.61855,192.168.159.152,192.168.159.151,DNS,156,Standard query response 0x503f PTR 150.159.168.192.in-addr.arpa PTR kali.mydns.com NS kdc01.mydns.com NS ubuntu,FALSE
8,2.300118,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
9,2.617675,192.168.159.151,192.168.159.152,DNS,88,Standard query 0xc0fa PTR 151.159.168.192.in-addr.arpa,FALSE
10,2.618308,192.168.159.152,192.168.159.151,DNS,161,Standard query response 0xc0fa PTR 151.159.168.192.in-addr.arpa PTR windows10.mydns.com NS ubuntu NS kdc01.mydns.com,FALSE
11,3.299969,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
12,4.000601,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
13,4.299415,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
14,4.302489,192.168.159.151,192.168.159.152,DNS,74,Standard query 0xf7c5 A ntp.ubuntu.com,FALSE
15,4.30259,192.168.159.151,192.168.159.152,DNS,74,Standard query 0x7b7f AAAA ntp.ubuntu.com,FALSE
16,4.31134,VMware_1b:ea:01,VMware_64:d8:25,ARP,60,Who has 192.168.159.151? Tell 192.168.159.152,FALSE
17,4.31135,VMware_64:d8:25,VMware_1b:ea:01,ARP,42,192.168.159.151 is at 00:0c:29:64:d8:25,FALSE
18,5.024229,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
19,5.300503,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
20,6.048371,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
21,6.29969,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
22,7.29954,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
23,8.300671,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
24,9.005121,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
25,9.299467,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
26,9.299647,192.168.159.152,192.168.159.151,DNS,74,Standard query response 0xf7c5 Server failure A ntp.ubuntu.com,FALSE
27,9.299675,192.168.159.152,192.168.159.151,DNS,74,Standard query response 0x7b7f Server failure AAAA ntp.ubuntu.com,FALSE
28,9.29984,192.168.159.151,192.168.159.152,DNS,84,Standard query 0x09d7 A ntp.ubuntu.com.mydns.com,FALSE
29,9.299913,192.168.159.151,192.168.159.152,DNS,84,Standard query 0xe734 AAAA ntp.ubuntu.com.mydns.com,FALSE
30,9.300287,192.168.159.152,192.168.159.151,DNS,132,Standard query response 0x09d7 No such name A ntp.ubuntu.com.mydns.com SOA ubuntu.mydns.com,FALSE
