"@timestamp: Descending","name.keyword: Descending","destination_ip: Descending","source_ip: Descending","destination_port: Descending","_id: Descending",Count
1699322026808,"__missing__","192.168.159.152","192.168.159.151",53,0D98p4sBH3KOKVzRXrmS,1
1699322026808,"__missing__","192.168.159.152","192.168.159.151",53,0T98p4sBH3KOKVzRXrmS,1
1699322026808,"__missing__","192.168.159.152","192.168.159.151",53,0j98p4sBH3KOKVzRXrmS,1
1699322026808,"__missing__","192.168.159.152","192.168.159.151",53,0z98p4sBH3KOKVzRXrmS,1
1699322026808,"__missing__","192.168.159.152","192.168.159.151",53,1D98p4sBH3KOKVzRXrmS,1
1699322026808,"__missing__","192.168.159.152","192.168.159.151",53,2z98p4sBH3KOKVzRhbmn,1
1699322026808,"__missing__","192.168.159.152","192.168.159.151",53,3D98p4sBH3KOKVzRhbmn,1
1699322026808,"__missing__","192.168.159.152","192.168.159.151",53,Dz98p4sBH3KOKVzRrLrA,1
1699322026808,"__missing__","192.168.159.152","192.168.159.151",53,zj98p4sBH3KOKVzRXrmS,1
1699322026808,"__missing__","192.168.159.152","192.168.159.151",53,zz98p4sBH3KOKVzRXrmS,1
1699319746994,"__missing__","192.168.159.152","192.168.159.151",53,IT9gp4sBH3KOKVzRRqkT,1
1699319746994,"__missing__","192.168.159.152","192.168.159.151",53,Iz9gp4sBH3KOKVzRRqkT,1
1699319746994,"__missing__","192.168.159.152","192.168.159.151",53,JT9gp4sBH3KOKVzRRqkT,1
1699319746994,"__missing__","192.168.159.152","192.168.159.151",53,Jz9gp4sBH3KOKVzRRqkT,1
1699319746994,"__missing__","192.168.159.152","192.168.159.151",53,PT9gp4sBH3KOKVzRRqkT,1
1699319746994,"__missing__","192.168.159.152","192.168.159.151",53,Pz9gp4sBH3KOKVzRRqkT,1
1699319778503,"__missing__","192.168.159.152","192.168.159.151",53,Mj9gp4sBH3KOKVzRRqkT,1
1699319778503,"__missing__","192.168.159.152","192.168.159.151",53,Mz9gp4sBH3KOKVzRRqkT,1
1699319778503,"__missing__","192.168.159.152","192.168.159.151",53,QD9gp4sBH3KOKVzRRqkT,1
1699319778503,"__missing__","192.168.159.152","192.168.159.151",53,QT9gp4sBH3KOKVzRRqkT,1
1699319778503,"__missing__","192.168.159.152","192.168.159.151",53,ez9gp4sBH3KOKVzRRqkT,1
1699319778503,"__missing__","192.168.159.152","192.168.159.151",53,fT9gp4sBH3KOKVzRRqkT,1
1699320083489,"__missing__","192.168.159.152","192.168.159.151",53,Ez9gp4sBH3KOKVzRVKy0,1
1699320083489,"__missing__","192.168.159.152","192.168.159.151",53,FD9gp4sBH3KOKVzRVKy0,1
1699320083489,"__missing__","192.168.159.152","192.168.159.151",53,Fz9gp4sBH3KOKVzRVKy1,1
1699320083489,"__missing__","192.168.159.152","192.168.159.151",53,OT9gp4sBH3KOKVzRVKy1,1
1699320083489,"__missing__","192.168.159.152","192.168.159.151",53,PT9gp4sBH3KOKVzRVKy1,1
1699320083489,"__missing__","192.168.159.152","192.168.159.151",3,9j9gp4sBH3KOKVzRd6wV,1
1699320345489,"__missing__","192.168.159.152","192.168.159.151",53,3z9ip4sBH3KOKVzRta30,1
1699320345489,"__missing__","192.168.159.152","192.168.159.151",53,4T9ip4sBH3KOKVzRtq0i,1
1699320345489,"__missing__","192.168.159.152","192.168.159.151",53,5T9ip4sBH3KOKVzR3a0w,1
1699320345489,"__missing__","192.168.159.152","192.168.159.151",53,5j9ip4sBH3KOKVzR3a0w,1
1699320345489,"__missing__","192.168.159.152","192.168.159.151",53,7D9ip4sBH3KOKVzR3a0w,1
1699320345489,"__missing__","192.168.159.152","192.168.159.151",53,Dj9jp4sBH3KOKVzRBK4G,1
1699320532487,"__missing__","192.168.159.152","192.168.159.151",53,"ID9lp4sBH3KOKVzRuK8-",1
1699320532487,"__missing__","192.168.159.152","192.168.159.151",53,"IT9lp4sBH3KOKVzRuK8-",1
1699320532487,"__missing__","192.168.159.152","192.168.159.151",53,"Iz9lp4sBH3KOKVzRuK8-",1
1699320532487,"__missing__","192.168.159.152","192.168.159.151",53,QD9lp4sBH3KOKVzR369r,1
1699320532487,"__missing__","192.168.159.152","192.168.159.151",53,"_T9lp4sBH3KOKVzRka4k",1
1699320532487,"__missing__","192.168.159.152","192.168.159.151",53,"_j9lp4sBH3KOKVzRka4k",1
1699320683491,"__missing__","192.168.159.152","192.168.159.151",53,Gz9np4sBH3KOKVzR37Cl,1
1699320683491,"__missing__","192.168.159.152","192.168.159.151",53,HD9np4sBH3KOKVzR37Cl,1
1699320683491,"__missing__","192.168.159.152","192.168.159.151",53,Hz9op4sBH3KOKVzRBrCP,1
1699320683491,"__missing__","192.168.159.152","192.168.159.151",53,ID9op4sBH3KOKVzRBrCP,1
1699320683491,"__missing__","192.168.159.152","192.168.159.151",53,MD9op4sBH3KOKVzRLbC2,1
