No.,Time,Source,Destination,Protocol,Length,Info,Label
1,0,Vmware_e8:f1:88,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,
2,0.999929,Vmware_e8:f1:88,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,
3,1.189408,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.2? Tell 192.168.159.150,
4,1.402205,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x27bf Server failure A 3.ubuntu.pool.ntp.org,
5,1.402211,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x9682 Server failure AAAA 3.ubuntu.pool.ntp.org,
6,1.402445,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x8f05 A 3.ubuntu.pool.ntp.org.mydns.com,
7,1.40253,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x6b9d AAAA 3.ubuntu.pool.ntp.org.mydns.com,
8,1.402602,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x6b9d No such name AAAA 3.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,
9,1.402604,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x8f05 No such name A 3.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,
10,2.218965,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.2? Tell 192.168.159.150,
11,3.242697,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.2? Tell 192.168.159.150,
12,4.992572,192.168.241.1,224.0.0.251,MDNS,83,"Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question",
13,4.992867,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,103,"Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question",
14,4.993315,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,321,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp._tcp.local SRV 0 0 54987 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
15,4.993625,192.168.241.1,224.0.0.251,MDNS,301,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp._tcp.local SRV 0 0 54987 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
16,5.001545,192.168.241.1,224.0.0.251,MDNS,86,"Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question",
17,5.001842,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,106,"Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question",
18,5.002273,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,330,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp_v2._tcp.local SRV 0 0 54984 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
19,5.002571,192.168.241.1,224.0.0.251,MDNS,310,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp_v2._tcp.local SRV 0 0 54984 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
20,5.067167,fe80::b1a1:6a9a:e994:a430,ff02::1:ff48:e464,ICMPv6,86,Neighbor Solicitation for fe80::f0c7:25ff:fe48:e464 from 00:50:56:c0:00:08,
21,6.005498,192.168.241.1,224.0.0.251,MDNS,86,"Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question",
22,6.005749,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,106,"Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question",
23,6.006158,192.168.241.1,224.0.0.251,MDNS,83,"Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question",
24,6.006639,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,103,"Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question",
