"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"2","0.935135","192.168.159.151","192.168.159.152","DNS","88","Standard query 0x2ddc PTR 152.159.168.192.in-addr.arpa"
"3","0.935869","192.168.159.152","192.168.159.151","DNS","158","Standard query response 0x2ddc PTR 152.159.168.192.in-addr.arpa PTR ubuntu.mydns.com NS kdc01.mydns.com NS ubuntu"
"4","0.999672","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"5","1.935295","192.168.159.151","192.168.159.152","DNS","88","Standard query 0xa07d PTR 151.159.168.192.in-addr.arpa"
"6","1.935972","192.168.159.152","192.168.159.151","DNS","161","Standard query response 0xa07d PTR 151.159.168.192.in-addr.arpa PTR windows10.mydns.com NS kdc01.mydns.com NS ubuntu"
"7","2.001486","192.168.159.152","192.168.159.151","DNS","81","Standard query response 0x8c19 Server failure A 2.ubuntu.pool.ntp.org"
"8","2.001533","192.168.159.152","192.168.159.151","DNS","81","Standard query response 0x8794 Server failure AAAA 2.ubuntu.pool.ntp.org"
"9","2.001716","192.168.159.151","192.168.159.152","DNS","91","Standard query 0xa67f A 2.ubuntu.pool.ntp.org.mydns.com"
"10","2.001824","192.168.159.151","192.168.159.152","DNS","91","Standard query 0x1372 AAAA 2.ubuntu.pool.ntp.org.mydns.com"
"11","2.002025","192.168.159.152","192.168.159.151","DNS","139","Standard query response 0xa67f No such name A 2.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com"
"12","2.002065","192.168.159.152","192.168.159.151","DNS","139","Standard query response 0x1372 No such name AAAA 2.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com"
"13","2.002290","192.168.159.151","192.168.159.152","DNS","81","Standard query 0xd546 A 0.ubuntu.pool.ntp.org"
"14","2.002446","192.168.159.151","192.168.159.152","DNS","81","Standard query 0x9f24 AAAA 0.ubuntu.pool.ntp.org"
"15","2.002762","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"16","2.053382","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"17","2.935892","192.168.159.151","192.168.159.152","DNS","88","Standard query 0xe257 PTR 150.159.168.192.in-addr.arpa"
"18","2.936336","192.168.159.152","192.168.159.151","DNS","156","Standard query response 0xe257 PTR 150.159.168.192.in-addr.arpa PTR kali.mydns.com NS ubuntu NS kdc01.mydns.com"
"19","3.000075","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"20","3.061019","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"21","3.061157","192.168.159.151","192.168.159.152","DNS","89","Standard query 0x2861 A clients1.google.com.mydns.com"
"22","3.061447","192.168.159.152","192.168.159.151","DNS","137","Standard query response 0x2861 No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com"
"23","3.999745","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"24","4.084881","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"25","5.203999","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"26","6.204069","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"27","7.006568","192.168.159.151","192.168.159.152","DNS","81","Standard query 0xd546 A 0.ubuntu.pool.ntp.org"
"28","7.006727","192.168.159.151","192.168.159.152","DNS","81","Standard query 0x9f24 AAAA 0.ubuntu.pool.ntp.org"
"29","7.010527","VMware_9d:e8:5f","VMware_fe:64:2f","ARP","42","Who has 192.168.159.152? Tell 192.168.159.151"
"30","7.010779","VMware_fe:64:2f","VMware_9d:e8:5f","ARP","60","192.168.159.152 is at 00:0c:29:fe:64:2f"
"31","7.058746","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"32","7.203725","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"33","8.058965","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x8a3b Server failure A clients1.google.com"
"34","8.059066","192.168.159.151","192.168.159.152","ICMP","107","Destination unreachable (Port unreachable)"
"35","8.060704","192.168.159.151","192.168.159.152","DNS","79","Standard query 0xf31c A clients1.google.com"
"36","8.084968","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"37","8.405252","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"38","9.109154","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"39","9.404132","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"40","10.403876","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"41","11.606589","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"42","12.003273","192.168.159.152","192.168.159.151","DNS","81","Standard query response 0x9f24 Server failure AAAA 0.ubuntu.pool.ntp.org"
"43","12.003320","192.168.159.152","192.168.159.151","DNS","81","Standard query response 0xd546 Server failure A 0.ubuntu.pool.ntp.org"
"44","12.003462","192.168.159.151","192.168.159.152","DNS","91","Standard query 0x9a7f A 0.ubuntu.pool.ntp.org.mydns.com"
"45","12.003598","192.168.159.151","192.168.159.152","DNS","91","Standard query 0x8de2 AAAA 0.ubuntu.pool.ntp.org.mydns.com"
"46","12.003857","192.168.159.152","192.168.159.151","DNS","139","Standard query response 0x8de2 No such name AAAA 0.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com"
"47","12.003869","192.168.159.152","192.168.159.151","DNS","139","Standard query response 0x9a7f No such name A 0.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com"
"48","12.004081","192.168.159.151","192.168.159.152","DNS","81","Standard query 0x0836 A 3.ubuntu.pool.ntp.org"
"49","12.004220","192.168.159.151","192.168.159.152","DNS","81","Standard query 0xf390 AAAA 3.ubuntu.pool.ntp.org"
"50","12.064334","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"51","12.603707","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"52","13.066108","192.168.159.151","192.168.159.152","DNS","79","Standard query 0xf31c A clients1.google.com"
"53","13.076724","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"54","13.603954","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"55","14.061568","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x3c6c A clients1.google.com"
"56","14.101071","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"57","15.205554","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"58","16.204594","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"59","17.004908","192.168.159.151","192.168.159.152","DNS","81","Standard query 0x0836 A 3.ubuntu.pool.ntp.org"
"60","17.005118","192.168.159.151","192.168.159.152","DNS","81","Standard query 0xf390 AAAA 3.ubuntu.pool.ntp.org"
"61","17.070384","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"62","17.204080","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"63","18.062123","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0xf31c Server failure A clients1.google.com"
"64","18.062170","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x3c6c Server failure A clients1.google.com"
"65","18.062283","192.168.159.151","192.168.159.152","DNS","89","Standard query 0xa8a5 A clients1.google.com.mydns.com"
"66","18.062370","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x3c6c A clients1.google.com"
"67","18.062721","192.168.159.152","192.168.159.151","DNS","137","Standard query response 0xa8a5 No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com"
"68","18.063392","192.168.159.151","192.168.159.152","DNS","79","Standard query 0xb755 A clients1.google.com"
"69","18.101166","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
